"","lastname","firstname","town","state","state_and_twon"
"212","Trott","David","Birmingham","Michigan","Birmingham ,  Michigan"
"213","Dingell","Debbie","Dearborn","Michigan","Dearborn ,  Michigan"
"214","Conyers","John","Detroit","Michigan","Detroit ,  Michigan"
"215","Lawrence","Brenda","Southfield","Michigan","Southfield ,  Michigan"
"216","Walz","Timothy","Mankato","Minnesota","Mankato ,  Minnesota"
"217","Kline","John","Burnsville","Minnesota","Burnsville ,  Minnesota"
"218","Paulsen","Erik","Eden Prairie","Minnesota","Eden Prairie ,  Minnesota"
"219","McCollum","Betty","St. Paul","Minnesota","St. Paul ,  Minnesota"
"220","Ellison","Keith","Minneapolis","Minnesota","Minneapolis ,  Minnesota"
"221","Emmer","Tom","Delano","Minnesota","Delano ,  Minnesota"
"222","Peterson","Collin","Detroit Lakes","Minnesota","Detroit Lakes ,  Minnesota"
"223","Nolan","Richard","Crosby","Minnesota","Crosby ,  Minnesota"
"224","Clay","Wm.","St. Louis","Missouri","St. Louis ,  Missouri"
"225","Wagner","Ann","Ballwin","Missouri","Ballwin ,  Missouri"
"226","Luetkemeyer","Blaine","St. Elizabeth","Missouri","St. Elizabeth ,  Missouri"
"227","Hartzler","Vicky","Harrisonville","Missouri","Harrisonville ,  Missouri"
"228","Cleaver","Emanuel","Kansas City","Missouri","Kansas City ,  Missouri"
"229","Graves","Sam","Tarkio","Missouri","Tarkio ,  Missouri"
"230","Long","Billy","Springfield","Missouri","Springfield ,  Missouri"
"231","Smith","Jason","Salem","Missouri","Salem ,  Missouri"
"232","Sablan","Gregorio","Saipan","Northern Mariana Islands","Saipan ,  Northern Mariana Islands"
"233","Kelly","Trent","Saltillo","Mississippi","Saltillo ,  Mississippi"
"234","Thompson","Bennie","Bolton","Mississippi","Bolton ,  Mississippi"
"235","Harper","Gregg","Pearl","Mississippi","Pearl ,  Mississippi"
"236","Palazzo","Steven","Biloxi","Mississippi","Biloxi ,  Mississippi"
"237","Zinke","Ryan","Whitefish","Montana","Whitefish ,  Montana"
"238","Butterfield","G.","Wilson","North Carolina","Wilson ,  North Carolina"
"239","Ellmers","Renee","Dunn","North Carolina","Dunn ,  North Carolina"
"240","Jones","Walter","Farmville","North Carolina","Farmville ,  North Carolina"
"241","Price","David","Chapel Hill","North Carolina","Chapel Hill ,  North Carolina"
"242","Foxx","Virginia","Grandfather Community","North Carolina","Grandfather Community ,  North Carolina"
"243","Walker","Mark","Summerfield","North Carolina","Summerfield ,  North Carolina"
"244","Rouzer","David","McGee's Crossroad","North Carolina","McGee's Crossroad ,  North Carolina"
"245","Hudson","Richard","Concord","North Carolina","Concord ,  North Carolina"
"246","Pittenger","Robert","Charlotte","North Carolina","Charlotte ,  North Carolina"
"247","McHenry","Patrick","Denver","North Carolina","Denver ,  North Carolina"
"248","Meadows","Mark","Cashiers","North Carolina","Cashiers ,  North Carolina"
"249","Adams","Alma","Greensboro","North Carolina","Greensboro ,  North Carolina"
"250","Holding","George","Raleigh","North Carolina","Raleigh ,  North Carolina"
"251","Cramer","Kevin","Bismarck","North Dakota","Bismarck ,  North Dakota"
"252","Fortenberry","Jeff","Lincoln","Nebraska","Lincoln ,  Nebraska"
"253","Ashford","Brad","Omaha","Nebraska","Omaha ,  Nebraska"
"254","Smith","Adrian","Gering","Nebraska","Gering ,  Nebraska"
"255","Guinta","Frank","Manchester","New Hampshire","Manchester ,  New Hampshire"
"256","Kuster","Ann","Hopkinton","New Hampshire","Hopkinton ,  New Hampshire"
"257","Norcross","Donald","Camden City","New Jersey","Camden City ,  New Jersey"
"258","LoBiondo","Frank","Ventnor","New Jersey","Ventnor ,  New Jersey"
"259","MacArthur","Thomas","Toms River","New Jersey","Toms River ,  New Jersey"
